"","description2"
"24","South Carolina,  USA – A South Carolina father who killed his five children should be executed, a jury has agreed, ignoring a court plea for mercy from the victims' mother.

Amber Kyzer said on Tuesday convicted murderer Tim Jones Jr, 37, ""did not show my children mercy by any means, but my kids loved him"".

The sentence came after prosecutors argued that life in prison would be like sending ""Timmy to his room"".

South Carolina has not executed an inmate since 2011.

Thursday's unanimous decision was reached by the same jury that convicted Jones of the August 2014 slaying of the five children, aged one to eight.

Had the Lexington County panel of seven men and five women been unable to reach a unanimous decision, Jones would have been sentenced to life in prison.

The jurors agreed his fate after about two hours of deliberation on the 21st day of the trial.

During sentencing arguments, prosecutors asked jurors to recall the shocking manner of the murders.

Jones admitting exercising his oldest child as a punishment until he collapsed and died.

He strangled the other four, before driving aimlessly around for nine days with the bodies in his car, dumping the remains in black bin bags in rural Alabama.

Jones drove around aimlessly for nine days with the children's bodies in his car

During the trial, Jones' father, stepmother, sister and two brothers all took the stand to ask that he be given life without parole.

Jones' father removed his shirt to show the courtroom tattoos of his slain grandchildren.

Ms Kyzer also requested mercy for her ex-husband.

""He did not show my children any mercy by any means,"" she said. ""But my kids loved him and if I'm speaking on behalf of my kids and not myself, that's what I have to say."""
"25","Norwalk, CT – For years, Marc Karun unnerved neighbors in the small New England town where he lived in a log home that was surrounded by acres of thick woods and couldn’t be seen from the road.

The Connecticut native had shown up in Stetson, Maine, a rural community of roughly 1,200 people, in 2013. Right away, residents told the Bangor Daily News, he began to exhibit peculiar behavior. He would stand at the top of his driveway and salute passing drivers for no apparent reason, show up at town meetings to make snarky comments, and walk around with a blank stare that left some uneasy. It was well known that he was a lifetime registrant on Maine’s sex-offender registry, with an anonymous vandal painting the word “pedophile” in red on the road outside his home one summer.

So when the white-haired 53-year-old was arrested on Wednesday in connection with the brutal 1986 murder and sexual assault of an 11-year-old girl, residents weren’t exactly shocked to see yellow crime-scene tape blocking off his long driveway.

 “I’m not surprised,” Millard Butler, a town selectman who lived a little over a mile down the road, told the Daily News. “He always acted kind of weird anyway.”

Detectives in Norwalk, Conn., had also been harboring suspicions about Karun — for more than 30 years.

On the afternoon of Sept. 23, 1986, Kathleen Flynn left school and began walking home on a paved footpath that cut through a wooded area, the same route that she took every day. Several hours later, her mother called to report her missing. The sixth-grader’s body was found in the woods early the next morning, not far from the path she had taken home and the athletic fields where soccer and field hockey teams had been playing when she disappeared. She had been raped and strangled.

At the time, Karun was living within a few miles of the school. He had previously been convicted of sexual assault and was questioned within weeks of the murder. Though he denied having anything to do with the crime, he also made a bizarre admission. Four days before Kathleen was killed, he claimed, he had gone to her middle school to “see some teachers.” He described visiting the school’s library and talking with a librarian, and walking around on the same footpath that the sixth-grader had taken, according to a police affidavit obtained by WCSH.

But when police went to the middle school, none of the librarians remembered seeing Karun. The only teachers who recognized his photo were those who knew him as a former student with “serious problems,” according to the affidavit. When questioned about the discrepancy, Karun said that he hadn’t actually been at the school that day.

About eight months before Kathleen was murdered, Karun was arrested on sexual assault and kidnapping charges that were later downgraded after the victim decided that she didn’t want to testify against him in court. Authorities noticed similarities between the two cases, according to court records obtained by the Daily News. Forensic testing didn’t establish a link, but it also didn’t definitively rule out Karun as a suspect.

As police chased down countless leads that turned out to be dead ends, the unsolved murder left the community on edge.

“The kids in school were all terrified, as was everyone in the neighborhood,” Enes Drake, a substitute teacher who lived near the middle school, told the Connecticut Post. “We were all on high alert. The guy was never caught, so we were always looking over their shoulders.”

Detectives would return to Karun again and again in the decades that followed. Two people who knew him — a friend and the victim from the 1986 sexual assault case — separately told police that they also remembered him talking about visiting Kathleen’s middle school. But in the version that they both heard, he had been there on the day of the murder. Still, aside from those comments, nothing directly linked him to the case.

Meanwhile, Karun began accumulating a lengthy rap sheet in Connecticut, including multiple convictions for first-degree sexual assault, according to the Hartford Courant. In 1989, he was ordered to register as a sex offender for life.

As he cycled in and out of prison, police kept trying to crack the case, hoping that advances in DNA technology would eventually lead them to a suspect. Authorities haven’t said yet how they finally zeroed in on Karun, but plan to release more details at a news conference at a later date. An affidavit obtained by WCSH suggests that DNA sampling helped make the match. Police also noted similarities between Kathleen’s murder and the details of four past cases in which Karun faced kidnapping or sexual assault charges, according to the Daily News.

The arrest came nearly a year after Kathleen’s father, Jim, died, the Courant reported. In a statement, the family thanked the Norwalk Police Department “for bringing Kathleen’s murderer to justice” and asked for privacy.

Often, arrests in decades-old cold cases lead to shock and dismay as the suspect’s friends, neighbors and co-workers learn that the person they thought they knew was hiding a dark secret. In Stetson, that wasn’t the case. Neighbors who asked not to be identified told WABI that they “always got kind of a creepy vibe” from Karun and were glad to hear that he was in custody.

“He made all of us uncomfortable,” Catherine Fisher, who works as the town registrar and handled Karun’s car registration every year, told the Daily News. “He would come in, and it’s almost like he looks right through you. He didn’t know when to leave.”

Butler, the selectman, recalled that Karun almost always showed up to the town meetings that take place twice a month. At one recent meeting, a woman became uncomfortable because the registered sex offender, who was seated in the front row, kept staring at her through dark sunglasses, he told the Daily News. She asked Butler to stay behind after the meeting ended and make sure that she got home safely.

“Most of the time, when you hear about someone doing something like this, you think, ‘I guess I knew that person, I didn’t think he was really capable of doing it,'” Butler told WCSH. “But in this case, what I’ve seen of him, I’m not surprised a bit. I think he was completely capable of doing something like that.”"
"26","Carlsbad, CA - A Carlsbad man accused of drugging and sexually assaulting four women, including a 16-year-old girl he met online, pleaded not guilty in a Vista courtroom Wednesday.

Michael Fangman, 47, was taken into custody on Friday when investigators served a search warrant at his home in Carlsbad.

He faces 14 felony charges in connection with the alleged teenage victim, Jane Doe 1, including contacting a minor with intent to commit a sexual offense, providing narcotics (heroine), and unlawful sex and oral copulation with a minor, according to Deputy District Attorney Benjamin Barlow.

Prosecutors believe Fangman had contact with Jane Doe 1 between March 11 and March 16.

An investigation was launched on March 18 when the teenager reported the assault to the Carlsbad Police Department. 

The three other charges stem from an incident with a Jane Doe 2 believed to have occurred on March 30. Fangman faces forcible rape, forcible penetration and sexual battery charges related to that alleged incident, Barlow said.

Prosecutors believe all of the alleged crimes occurred in Carlsbad.

Barlow added that charges related to Jane Doe 3 and Jane Doe 4 could come later, as the investigation is still ongoing.

Police say all of Fangman's alleged victims were contacted online. NBC 7 learned Fangman coached travel softball teams for girls 16 and younger and 14 and younger in 2016.

Detectives say they found three other victims who had allegedly been sexually assaulted by Fangman.

 “All of our victims we’re contacted online, via social media outlets, they don’t all share the same one necessarily but he contacted them via online outlets,” said Sgt. Reid Shipley with Carlsbad police.

Shipley said all four victims were from Southern California with one from Orange County. All cases are from the last two years, he said.

The three additional victims are near the ages of 20 and 21 years old, he said.

“I have significant concern both for our own victims as well as any other potential victims that are out there,"" the sergeant added. ""I really want our victims to understand that they’re not alone, that there are other people there and that we really want them to contact us.”

Fangman was booked into the Vista Detention Facility and is being held without bail. His preliminary hearing is scheduled for June 25. If convicted on all charges, Fangman could face up to 25 years in prison.

Anyone who has information can contact the Carlsbad Police Department’s tip line TipLine@CarlsbadCA.gov or (760) 931-3819."
"27","Palm Bay, FL - A Palm Bay man has been arrested for the second time in two weeks in connection with the rape of a child.

Jamal Davis was first arrested in late May, and police have been looking for other victims since then. Authorities said they found one victim who is 3 years old.

Police said the molestation of the 3-year-old boy has been going on for a year.

Cocoa Police detectives said Davis knows the child's mother.

According to authorities, the woman did not know what had been going on, but police said the little boy was able to describe to them the illegal acts and who did them.

Police arrested Davis Wednesday while he was in jail, because of a similar arrest.

In that case, a Palm Bay police report said Davis spoke to another child's mother and told her he has a ""weird fetish"" that entails a sexual attraction to girls as young as 3 years old.

In the report, Davis is accused of propositioning her and saying he wanted to perform illegal acts on her son while the she watched.

Police said Davis admitted to recording his acts on his phone. Davis was charged with rape and child pornography in the first incident.

In the second case, authorities said the 3-year-old victim told them pictures were taken of him; Davis is charged with rape.

If convicted, Davis could face life in prison for either or both cases. Police are still investigating whether there are any other victims."
"28","Doylestown, PA — A man sentenced to death for raping, strangling and dismembering his girlfriend's 14-year-old daughter has asked a judge to instead give him a life term.

Jacob Sullivan pleaded guilty to first-degree murder and other offenses for killing Grace Packer in 2016 as part of a rape-murder fantasy he shared with the teen's mother. Jurors decided in March he should get the death penalty.

The jury deliberated over parts of three days before making its decision. Jurors told the judge during the deliberations they were unable to agree, and Sullivan's lawyers argued Wednesday the judge ""forced"" jurors to keep deliberating, sending the message that a life sentence ""was unacceptable.""

Pennsylvania has a moratorium on the death penalty, but juries can still impose the sentence.

Grace Packer's mother, Sara Packer, received a life sentence in a plea deal with prosecutors."
"29","Chicago, IL - A woman stabbed her parents to death over the dying pleas of her mother, who was recorded on a “bone-chilling” 911 call, according to prosecutors.

Deborah Jane Martin, 43, was arrested and charged with two counts of first-degree murder for the deaths of David Martin, 72, and Anne Martin, 71, early Saturday in the home they shared in suburban Chicago.

Her mom had called 911 during the attack — with the call catching her dying moans and gasps for air, prosecutor Lorna Amado-Chevlin said, calling it “bone-chilling,” according to the Chicago Tribune.

“No, Debbie!” the mom, a retired school teacher, gasped during the call, the prosecutor told Martin’s first court hearing Monday, according to the paper.

Paramedics found the parents “beyond medical attention” when they arrived at the Arlington Heights home, with the dad’s throat slashed, the Tribune said.

Martin was the only other person in the house, and her hair was wet as if she had just showered, the prosecutor told Martin’s hearing.

Police then found a journal detailing her chilling plans to kill her parents — as well as a Smith & Wesson knife with a 6-inch blade, according to the local Daily Herald.

Arlington Heights police Cmdr. Joseph Pinnello told the Tribune that his force had “dealt with the family over several years in the past but there was no reported violence.”

“It’s hard to determine what persuaded Deborah to take action against her parents at that particular time,” he told the paper.

Martin was ordered held without bail. She is due back in court June 27"
"30","Jeffersonville, IN — A man sentenced to 120 years for molesting 20 children between 3 and 8 years old in Jeffersonville has appealed his prison time.

Michael Begin, 20, pleaded guilty in January to 20 counts of level 4 felony child molestation related to victims he had encountered while overseeing or working with children at Thomas Jefferson Elementary School and the Clark County YMCA between January and October 2017.

Begin was ultimately charged with 27 counts of level 1 felony child molestation, but the plea agreement amended those to 20 — one for each of the victims. Because he'd pleaded guilty, the charges aren't able to be appealed, only the sentence.

On April 26, after hearing from family members of eight of the children, Clark County Circuit Court No. 1 Judge Andrew Adams passed down the maximum sentence of 120 years, but with the final 20 to be served on probation.

Clark County Prosecutor Jeremy Mull had requested the full 120 years; Jennifer Culotta, Begin's attorney in the case, had requested he serve 40 years, and said following the hearing that day they planned to appeal the sentence. On May 20, a notice of appeal was filed and on June 6, the transcript had been completed and the case ready for the next step in the process, online court records show.

Begin has been transported to the Indiana Department of Correction. According to online jail records, his earliest release date with good time credit is 2092."
"31","Clearwater, FL - A Florida Chick-fil-A franchise owner was arrested Wednesday on two counts of lewd and lascivious molestation of a 15-year-old, the Pinellas County Sheriff's Office said.

Heather Matuszek, 32, was the alleged victim’s youth leader at Clearwater Community Church in Pinellas County in 2014 and 2015 when the incidents allegedly took place, The Tampa Bay Times reported.

The alleged victim, who is now 19, told deputies Matuszek touched her inappropriately two times, the report said. She reported the allegations last March.

The investigation is ongoing and the sheriff’s office says they believe there could be more victims. The alleged victim also said there were more inappropriate incidents with Matuszek outside of the county.

Matuszek posted her $40,000 bail Wednesday night, according to The Times."
"32","Detroit, MI – A Detroit man whom police have called a person of interest in the possible serial rape and murder of three women on the city’s east side has been arrested and charged with a separate assault.

Wayne County prosecutors arrested Deangelo Martin, a 34-year-old homeless man with no violent crimes on his criminal record, and are charging him with criminal sexual conduct and assault with intent to murder.

Those charges stem from a May 7 stabbing and sex assault of a 26-year-old woman in an east side home. The victim fought for her life and was able to escape, police said.

Martin will be arraigned in 36th District Court on Monday. Police Chief James Craig said today that Martin is being treated as a suspect in their ongoing investigation into a suspected serial killer targeting sex workers in Detroit. However, he has not yet been charged with any of those fatal crimes.

“We believe this suspect is tied into all the crimes,” Craig said. “We’re confident he is connected to all the victims we described.”

Martin was taken into custody June 7, two days after the body of a woman was found in a vacant house on Mack Avenue.

The bodies of the other two women were discovered in separate empty dwellings earlier this year. The first on Coventry Street on March 19 and the second on Linhurst Street on May 20. Investigators previously said they believe all three deaths are related. All three victims tied to the possible serial killer were women in their early 50s.

Police also believe Martin may be linked to a separate June 3 attack on a female in her 50s at the same vacant home on Mack Avenue, but the victim was also able to escape. Both survivors are cooperating with police.

Detroit Mayor Mike Duggan previously announced that 40 police officers will immediately start inspecting abandoned houses on the east side of Detroit in teams of two.

The mayor says the houses then will be boarded up over the next two or three weeks. Fifty-five of those homes were boarded up over the weekend, despite crews facing challenges such as burned-out second floors and flooded basements."
"33","Charleston, WV — A student allowed to stay at Marshall University in West Virginia after a conviction for attacking a female student on campus in 2016 is now facing charges of sexually assaulting two more women, court documents show.

Joseph Chase Hardin, 22, has been indicted on second-degree sexual assault charges involving two women stemming from September and October 2018 incidents, according to court records filed Thursday. Hardin was jailed the following day, accused of violating probation for the earlier case in which he was accused of raping a student in her dorm room in February 2016.

A court hearing is scheduled Wednesday on the probation matter.

Hardin was originally charged with sexual assault in the 2016 case though he ultimately entered a Kennedy plea to a lesser charge of battery, allowing him to be convicted without admitting guilt. He was sentenced to a year in jail but the sentence was suspended and he was given three years' probation.

His court-appointed lawyer, Kerry A. Nessel, said he is representing Hardin for his probation case but said it was unclear who would be his lawyer for the assault charges. Nessel said he doesn't know Hardin and declined to comment further.

An ongoing federal lawsuit filed by the woman against the university describes a botched disciplinary process after the alleged 2016 rape as well as a pattern of harassment by Hardin. It says Hardin's continued attendance at Marshall forced the first victim to leave the college.

After the woman reported the attack, the college expelled Hardin but he was allowed to remain on campus during an appeal process. The college didn't place any restrictions that would prevent the woman from encountering Hardin, according to the lawsuit. The suit also says that in one instance, Hardin wore one of her headbands at a basketball game to mock her and that his friends taunted her on social media.

During a student conduct panel, the woman was aggressively cross-examined by Hardin's private attorneys when she didn't have a lawyer present, according to the lawsuit. No physical evidence was allowed because of the separate criminal trial against Hardin, it added. When the panel eventually cleared him, he winked at the woman as he walked by her, according to the suit.

Then, after reviewing the hearing process, college administrators reversed course and suspended Hardin from the campus grounds until his criminal case was resolved while still allowing him to take online classes. He unsuccessfully appealed that decision, but was allowed back at the school after he pleaded to the downgraded battery charge.

The woman's lawsuit against the university seeks unspecified compensatory and punitive damages.

Marshall spokeswoman Leah Payne said Tuesday that Hardin is still enrolled and that the more recent charges didn't occur on campus and didn't involve the school's police department. The college also released a statement saying it is weighing disciplinary action against Hardin.

The newer charges of sexual assault against Hardin involve alleged rapes of two women last year in the same county where Marshall University is located, according to an indictment.

Marshall University is a public college with about 13,000 students located in Huntington near the West Virginia line with Kentucky."
"34","Ocala, FL - It was the mugshot that made national headlines; a drunk driver smiling for the camera after crashing and killing a Sarasota woman. Thursday, she learned her fate.

Facing a minimum of four years in prison, Judge Steven Rogers sentenced Angenette (Welk) Missett to 11 years for the death of 60-year-old Sandra Clarkston.

Clarkston died last May in the hospital in Ocala a few weeks after Missett slammed into her at a stop light, pushing her car into the back of a horse trailer.

Troopers say Missett's blood alcohol content was more than twice the legal limit.

Clarkston's family still has her smashed up car. They towed it to the courthouse Thursday for Missett’s sentencing.

Missett pleaded no contest to manslaughter then apologized to the family, including Clarkston’s fraternal twin brother, Daniel Clarkston, and Sandra's daughter.  

""I am truly, truly sorry and if I could change spots with your mother I would in a heartbeat. I am sorry. I am sorry. I am truly, truly sorry,"" Missett said before she was sentenced.

In a victim statement, Clarkston’s daughter told the court about the real consequences of Welk’s actions.

""I lost my only remaining parent because of the defendant's selfish and conscious decision to drink and drive,"" Clarkston’s daughter, Keonna Sciacca said in court.

A day before the sentencing, Clarkston's twin brother, Daniel said he is ready to look toward the future. 

""Whatever sentence he imposes on her, I'm OK with,"" Clarkston said. ""I'm not going to be vindictive about it because it's not going to bring her back. I'm fighting for my sister, my twin. She deserves it.""

While Thursday’s sentencing brought some closure to the Clarkston family, they say their fight isn't over. They plan to donate the smashed remains of the car hit by Missett to a high school in an effort to warn kids of the dangers of drinking and driving.

The family hopes to meet with Governor DeSantis to talk about tougher DUI laws."
"35","Baltimore, MD - Police are asking for the public's help with finding a missing 35-year-old man.

Michael Thomas was last seen on Saturday in the 3900 block of Elderon Avenue. He was last seen wearing a white t-shirt, black shorts and black and grey foamposite sneakers.

Family and friends are concerned about Thomas's well-being.

Anyone with information is asked to call the Missing Person's Unit at 443-984-7385 or dial 911."
"36","New Orleans, la -  Police have arrested a man accused of trying to sexually assault a woman in Audubon Park early Saturday morning (June 8).

Até Dumas, 30, was arrested Saturday in connection with the attempted sexual assault at the park as well as an unrelated aggravated assault, according to NOPD. Dumas was booked on charges of attempted first-degree rape, aggravated assault, battery of a police officer and resisting arrest.

Officers responded to report of an attempted sexual assault in Audubon Park around 7 a.m. Saturday. A woman was trying to exit a restroom at the park when an unknown man attacked her, police said. The woman escaped her attacker and fled the area before calling police.

NOPD officers were investigating an unrelated aggravated assault later that day near the intersection of Audubon and Green streets when they identified Ate’ Dumas as a potential suspect. Dumas’ description matched that given by the woman who was attacked earlier that morning in Audubon Park, police said.

Police arrested Dumas after a foot chase later Saturday at Fontainebleau Drive and Audubon Street. Dumas is accused of fleeing from NOPD officers and hitting an officer in the face with a closed fist, according a release.

Dumas was booked into the Orleans Justice Center jail just after 4 p.m. Saturday. His bond was set at $50,000 after a Monday court appearance.

Anyone with information regarding the incidents is asked to contact NOPD Special Victims Section Sex Crimes detectives at 504-658-5300 or 2nd District detectives at 504-658-5523. The public can also share information anonymously by calling Crimestoppers at 504-822-1111."
"45","This is a follow up post to our post titled ""Jake Walter"" on 12/14/18.

Boone County, KY - An 18-year-old former Covington Catholic basketball player has been indicted on rape and sodomy charges. Jacob Walter is locked up on $250,000 bond.

The alleged victim said she told him in December that she didn't want to have sex because she was sick. She said Walter forced her to have sex with him three times, pulled her hair and choked her. She told police he laughed when she said he was hurting her.

During a court appearance in December, Walter's attorney asked that his bond be reduced. The judge denied that request, citing the severity of the charges.

This is the second time Walter has been charged with rape. He was charged as a juvenile last May.

Walter will be back in court on Feb. 6."
"46","Abadiânia, Brazil - A self-proclaimed Brazilian spiritual healer — who became internationally famous when Oprah Winfrey spotlighted his alleged psychic healing methods on her television network in 2013 — will face trial on allegations of rape and sexual abuse, a judge ruled Wednesday, according to reports.

Reuters reported that João Teixeira de Faria, who is known as João de Deus, or John of God, was charged with abusing four women while they were seeking spiritual guidance and treatment; a judge in Abadiânia, the small town in central Brazil where Faria’s spiritual center is located, accepted the charges Wednesday.

The healer has denied the accusations.

His lawyer, Alberto Zacharias Toron, said, “We’re calm and believe justice will be served.”

According to reports, the first accusation against the 77-year-old healer was made by Dutch choreographer Zahira Maus on live TV in December.

De Faria became an international celebrity from his base in rural Brazil.

In a since-deleted column on oprah.com, Winfrey wrote that she was overwhelmed by the experience of seeing him cut into the breast of a woman without anesthesia, and that she left feeling “an overwhelming sense of peace.”

Reuters reported that Winfrey released a statement separating herself from the from the healer.

“I empathize with the women now coming forward and hope justice is served,” she said.

The Associated Press contributed to this report.

Image: (REUTERS/Metropoles/Igo Estrela)"
"47","Wichita, KS - A 33-year-old Haysville man has been sentenced for the rape of a 68-year-old woman. 

On Wednesday, a judge sentenced Garon Spencer to 71 years. 

In a trial back in December, Spencer was found guilty of rape, aggravated criminal sodomy and aggravated sexual battery.

Spencer attacked the woman in her home on Nov. 10, 2017. Detectives from the Sedgwick County Sheriff's Office investigated the case.

During sentencing, the judge noted Spencer's criminal history which included a juvenile conviction of aggravated criminal sodomy, and adult charges of aggravated assault, criminal threat and misdemeanor sexual battery."
"48","Monroe County, TN — A 14-year-old girl who disappeared from Tennessee more than two weeks ago has been found alive in Wisconsin and her father is now charged with rape, authorities said Thursday.

The girl is “doing fine,” Sheriff Tommy Jones of Monroe County, Tennessee, said Thursday.

Randall Pruitt, who adopted the girl, was arrested Thursday in Tennessee and charged with rape, the sheriff said. “(The girl) would be the victim in that,” Jones said.

The investigation continues, he said, and there is a possibility other people were involved and could be charged.

Asked if there is a connection between the girl and the residence where she was found, Jones told reporters his office does not believe there is any relation to the person living in the Wisconsin home.

Pruitt is being held with no bond and his first court appearance is scheduled for Tuesday, according to the Monroe County Sheriff’s online records.

CNN is not naming the girl because she is the alleged victim of sexual assault.

The girl had last been seen January 13 at her home in Madisonville, in eastern Tennessee between Chattanooga and Knoxville."
"49","Waco, TX - Baylor University’s Title IX office this week is investigating three related incidents of rape that reportedly occurred at a single residence hall since early December, Baylor officials said.

All three reports were made Monday for incidents that occurred at South Russell Residence Hall on Dec. 2, Jan. 19 and Jan. 20, according to the Baylor Campus Crime and Fire Log. The reports involved the same individuals and are believed to be connected, leading the Campus Security Authorities to refer the cases to the Title IX office, which investigates sexual violence and harassment.

Baylor spokeswoman Tonya Hudson said the three incidents are currently under the Title IX jurisdiction, and all information regarding the case is confidential. It was unknown if the three reported incidents are also under criminal investigation, she said.

The crime log states a Title IX office inquiry is when an incident was reported to the Title IX office, but has not been reported to the police department.

A letter from the university was sent to South Russell residents Thursday saying the rape allegations occurred among the same individuals. The letter states that the school “assessed the threat and addressed the situation according to our established policies and procedures.”

“We take these allegations very seriously, and our firm commitment to our students is to ensure the safety and security of our campus community,” the letter states.

A student can report a sexual assault of any kind to the Title IX office and forgo a criminal investigation, authorities said. It is up to the student whether to pursue criminal charges or seek administrative action enforced by the school pending the completion of a Title IX investigation."
"50","Jefferson County, AL — A Birmingham man is facing a charge of aggravated child abuse after allegedly causing serious harm to a 5-month-old

Fultondale Police say the infant was injured last week while in the care of the mother's boyfriend, 28-year-old Karlos Antonio Parker. The child's mother left the infant in Parker's care while she went to work. A relative who picked the boy up noticed the infant was not behaving normally.

A trip to Children's of Alabama uncovered the boy had bruising to his head and his brain was swelling.

Parker was arrested Tuesday night and is now being held in the Jefferson County Jail.

""You've just got to be careful to put your kids first, above your needs and desire for a relationship,"" Fultondale Police Chief D.P. Smith says.

Investigators are working with the Department of Human Resources to examine the child's home and family life."
"55","New Mexico/Colorado USA - A New Mexico man accused of raping three children in a week and sexually assaulting his own 13-year-old daughter was released on bail twice by the same judge before being arrested a third time on Monday after a statewide manhunt.

Raymond Hernandez, 29, was first taken into custody on January 15 after allegedly raping a teenage girl and beating her friend. Judge Ernest Ortega released him on a $10,000 bond.

 Two days later, Hernandez, who was wearing an ankle monitor, was arrested again for allegedly molesting a 19-month toddler who lived in the same house as the teen he was accused of raping.

Cops brought Hernandez back to court but the same judge released him on $20,000 bail. A few days after posting it, Hernandez allegedly went on to rape a five-year-old girl living next door to his family and then fled.  He was finally arrested Sunday night in Colorado.

 “I’m speechless, he needs to pay and I hope the judge puts him behind bars and keeps him there,” neighbor Gloria Lucero told KOB4 TV.

The district attorney says he hopes to secure an indictment this week before Hernandez sees a judge again on Thursday

Taos County Sheriff Jerry Hogrefe told local media that he suspects Hernandez has even more victims that are unknown to authorities."
"57","Martinez, CA  — The trial wrapped up Tuesday for an Antioch man accused of torturing his underage ex-girlfriend for days on end after he discovered she had returned to prostitution.

Joel Tolbert, 22, was 18 years old in January 2015 when he was arrested and charged with torture, forced sodomy and forced oral copulation. His trial began last week, after four years of delays. Prosecutors say Tolbert went into a rage after learning his girlfriend had been involved in sex trafficking, and for three days beat, burned and sexually assaulted her.

The nightmarish experience ended, prosecutors say, because several friends of the victim, known in court records as Jane Doe, eventually realized what was going on and snuck her out of the Shelter Cove residence to safety.

The defense argued Tuesday that Doe was using Tolbert as a scapegoat and that someone else had injured her. The assaults allegedly happened at three locations — Dallas Ranch Middle School, a residence on Shelter Cove Court and an abandoned house a short distance away, but Doe has made inconsistent statements about where each event took place.

In order to prove the torture count, prosecutors must prove that Tolbert assaulted her with the specific intent to cause pain.

Speaking to jurors Tuesday morning, Deputy District Attorney Kabu Adodoadji said Tolbert was “upset that he could not control every aspect of the victim’s sexuality,” and sought to punish her. She showed jurors pictures of a curling iron Tolbert allegedly used to burn the girl, as well as a photo of blistered burn marks on her hand.

“She wasn’t hysterical. She wasn’t sobbing. There was that slow buildup of tears swelling in her eyes,” Adodoadji said of Doe’s testimony during trial. “That’s not something you can fake. That was entirely genuine.”

But Tolbert’s attorney, Howard Williams, told jurors all prosecutors had proved was that Doe had been injured, not who inflicted the injuries.

“You get a different story every time,” Williams said. He later added, “Mr. Adodoadji wants you to look at her statement and disregard the fact that she admitted lying to the police.”

Williams asked the jury to recount memories of traumatic incidents they had witnessed and asked them if key details, such as the location, were difficult to remember. As an example, Williams told jurors of a time he had wrecked his mother’s car at age 17.

“I’ll never forget that … those kinds of memories stay the same,” Williams said, adding that he could remember the exact location, the color of the car he struck and how the accident occurred.

“If I had lied to the police, I wouldn’t be able to do that,” he said.

But Adodoadji told jurors that inconsistencies between Doe’s statements to police were immaterial. He pointed out that after she came forward to authorities, Doe had to undergo an intrusive rape test, as well as multiple police interviews and court testimony where she was asked personal, embarrassing questions, including about her sex life.

“You have to ask yourself whether someone who is making this up would be willing to go through all that,” Adodoadji said. “Who goes through all that unless they’re telling the truth?”

Jurors began deliberating Tuesday afternoon and will continue Wednesday morning."
"58","Denver, CO  – Prosecutors have charged a 50-year-old man with sexually assaulting four women over the past two years – often allegedly taking advantage of them while they were intoxicated and leaving bars in the LoDo area of Denver.

Byron L. Whitehorn, 50, is charged with four counts of sex assault – overcoming victim’s will and four counts of sex assault – victim incapable. All eight counts are class 4 felonies.

According to an affidavit for his arrest, Whitehorn sexually assaulted a Lakewood woman in the early-morning hours of Dec. 15 after the woman tried to go home from the Ginn Mill bar on Larimer Street.

Whitehorn approached the woman as she waited for an Uber ride, took the woman’s phone and canceled the ride. He then took her to his car, which was parked in a nearby parking garage, and sexually assaulted her, the affidavit says.

After allegedly doing so, Whitehorn then drove the woman to her home in Lakewood, put his number in her phone as “Byron” and told her: “Let’s do this again,” according to the affidavit.

The woman reported to friends that she had been sexually assaulted and also reported the assault to police, who noticed a pattern with three other unsolved sexual assaults that were linked to the same person.

The Lakewood woman underwent a sex assault exam, which showed that the man who assaulted her carried the same DNA as the assailant in the other cases, according to the affidavit.

Officers were able to get in touch with Whitehorn because he had given his phone number to the woman. He agreed to provide his DNA through Buccal swabs after denying that he assaulted any women.

The DNA matched that from the other three cases, DPD Crime Lab analysts found, and the victim and several others were able to provide partial descriptions of Whitehorn’s vehicle: a white 2005 Audi A4 sedan with tan seats.

Officers met with the woman earlier this month to show her a photo array, during which she identified Whitehorn as the suspect.

Police then went back through the three other cases to which Whitehorn’s DNA matched.
A Boulder woman who was assaulted in January 2018 after leaving LoDo’s bar positively identified Whitehorn as the suspect in her assault, as did a witness.

A Canadian woman who was assaulted after leaving Jackson’s bar in October 2017 was unable to positively identify Whitehorn through a photo array. And a woman assaulted after leaving LoDo’s in April 2017 was also unable to positively identify Whitehorn in a photo lineup earlier this month.

Court records indicate Whitehorn had a $500,000 bond set in the case and that he has a preliminary hearing scheduled for Feb. 26.

Police are asking anyone who thinks they might also have been a victim of Whitehorn's to call 720-913-2000."
